ID,Percentage,Category
0,0.22235568,TN
1,0.27585313,TN
2,0.2395314,TN
3,0.21951887,TN
4,0.69062924,FP
5,0.1930598,TN
6,0.086747766,FN
7,0.36897063,FN
8,0.31295294,TN
9,0.18056986,TN
10,0.6483009,TP
11,0.10607968,TN
12,0.6381633,FP
13,0.6972248,TP
14,0.19372478,TN
15,0.14477454,TN
16,0.18278396,TN
17,0.20537215,TN
18,0.8623232,FP
19,0.33545867,TN
20,0.21844538,TN
21,0.5536316,FP
22,0.4680873,FN
23,0.34603652,TN
24,0.28187662,TN
25,0.27389148,TN
26,0.13844283,TN
27,0.6742832,FP
28,0.31815097,TN
29,0.56686044,FP
30,0.40718213,FN
31,0.15234356,TN
32,0.53035635,FP
33,0.536275,TP
34,0.38208866,TN
35,0.79910594,TP
36,0.114227004,TN
37,0.41891438,TN
38,0.32890397,TN
39,0.3987301,TN
40,0.7386786,TP
41,0.7382858,TP
42,0.58834213,FP
43,0.40702826,TN
44,0.27481124,TN
45,0.6509731,FP
46,0.7715687,TP
47,0.8229724,TP
48,0.076215744,TN
49,0.20813644,TN
50,0.49989882,TN
51,0.69964033,TP
52,0.4040758,TN
53,0.3626425,TN
54,0.6593933,FP
55,0.6740004,FP
56,0.538173,FP
57,0.38199297,TN
58,0.09471807,TN
59,0.49138954,TN
60,0.17346698,TN
61,0.69978386,FP
62,0.6685095,TP
63,0.21012503,TN
64,0.4789559,TN
65,0.31892893,TN
66,0.6743897,TP
67,0.7881862,FP
68,0.7700356,FP
69,0.4785177,FN
70,0.6491706,TP
71,0.2265451,TN
72,0.34576735,TN
73,0.71187645,TP
74,0.69631094,TP
75,0.2818251,FN
76,0.32234097,FN
77,0.32630628,TN
78,0.45850983,TN
79,0.18791501,TN
80,0.25202242,TN
81,0.36636654,TN
82,0.18513931,TN
83,0.2026799,FN
84,0.7649639,TP
85,0.38105282,TN
86,0.59010243,FP
87,0.7222822,FP
88,0.63231647,TP
89,0.69039434,TP
90,0.104895785,TN
91,0.14053246,FN
92,0.70033926,TP
93,0.3944223,TN
94,0.2080377,TN
95,0.54912925,TP
96,0.24360001,TN
97,0.29744145,TN
98,0.42637706,FN
99,0.049785186,TN
100,0.2411014,TN
101,0.80088216,TP
102,0.693228,TP
103,0.60917765,TP
104,0.13664347,TN
105,0.69320095,FP
106,0.20255743,TN
107,0.14004968,TN
108,0.54195297,TP
109,0.47776526,TN
110,0.40910938,FN
111,0.18792227,TN
112,0.11526645,TN
113,0.26137233,TN
114,0.06916799,TN
115,0.50693566,FP
116,0.21080795,TN
117,0.5708931,FP
118,0.09949441,TN
119,0.13970417,TN
120,0.111938156,TN
121,0.3522381,TN
122,0.73922384,TP
123,0.6529461,TP
124,0.20137942,TN
125,0.047321428,TN
126,0.1477703,FN
127,0.56236523,TP
128,0.13337393,TN
129,0.14715469,FN
130,0.6471628,TP
131,0.41134104,TN
132,0.15131462,TN
133,0.32994926,TN
134,0.5225311,FP
135,0.19888781,TN
136,0.3285458,TN
137,0.4279873,TN
138,0.6318723,FP
139,0.7129537,FP
140,0.29022083,TN
141,0.7026709,TP
142,0.23401399,FN
143,0.29854143,TN
144,0.76041704,TP
145,0.5967407,TP
146,0.14777894,TN
147,0.8199707,TP
148,0.8685618,TP
149,0.37461028,TN
150,0.46026784,TN
151,0.37110174,TN
152,0.41065246,FN
153,0.04160787,FN
154,0.8173394,TP
155,0.18680936,TN
156,0.24705017,FN
157,0.20133871,TN
158,0.31559157,TN
159,0.3212999,FN
160,0.73746026,TP
161,0.40888166,FN
162,0.24771442,TN
163,0.6980841,FP
164,0.7504538,TP
165,0.3829878,FN
166,0.35595006,FN
167,0.74378836,TP
168,0.37825647,FN
169,0.8222051,TP
170,0.381967,TN
171,0.10454428,TN
172,0.41209733,TN
173,0.33880454,FN
174,0.69192386,FP
175,0.15182036,TN
176,0.4137252,TN
177,0.20277388,TN
178,0.2945027,TN
179,0.68034786,TP
180,0.42573717,FN
181,0.22076678,TN
182,0.26617756,TN
183,0.67907095,TP
184,0.5825801,TP
185,0.7125484,TP
186,0.61399543,FP
187,0.7082359,TP
188,0.43523005,FN
189,0.59783435,FP
190,0.7113915,TP
191,0.64370865,TP
192,0.22135435,FN
193,0.8736179,FP
194,0.31619737,TN
195,0.25219128,TN
196,0.23595792,TN
197,0.7955918,TP
198,0.72272223,TP
199,0.6026407,TP
200,0.76950175,TP
201,0.70091516,TP
202,0.20090033,TN
203,0.2325562,TN
204,0.66146106,TP
205,0.2553904,TN
206,0.6259904,TP
207,0.55949366,TP
208,0.7788242,TP
209,0.8182248,TP
210,0.36950332,FN
211,0.87180644,TP
212,0.76174265,TP
213,0.7442987,TP
214,0.59916586,TP
215,0.57732475,TP
216,0.5915146,TP
217,0.17262861,TN
218,0.15892214,TN
219,0.92381024,FP
220,0.68273884,FP
221,0.4189879,TN
222,0.28170016,TN
223,0.25093845,TN
224,0.68893903,TP
225,0.24916624,TN
226,0.85965365,TP
227,0.80895114,TP
228,0.2621637,TN
229,0.28978837,FN
230,0.6848545,TP
231,0.21193072,TN
232,0.19630484,TN
233,0.15018718,TN
234,0.43429488,TN
235,0.20101082,TN
236,0.86114293,TP
237,0.42817554,TN
238,0.45987922,TN
239,0.45547327,FN
240,0.32740915,TN
241,0.5746103,TP
242,0.408454,TN
243,0.38485786,FN
244,0.71082485,FP
245,0.75100595,TP
246,0.7462874,FP
247,0.5844477,FP
248,0.44100052,TN
249,0.5021047,FP
250,0.4740417,TN
251,0.58504516,FP
252,0.210654,TN
253,0.3018272,TN
254,0.38469124,TN
255,0.6179173,FP
256,0.7446073,TP
257,0.61641127,TP
258,0.28350925,TN
259,0.42281008,TN
260,0.5618547,FP
261,0.6678656,FP
262,0.4953801,FN
263,0.24397597,TN
264,0.3150218,TN
265,0.44589734,TN
266,0.26578337,FN
267,0.536227,TP
268,0.7742376,TP
269,0.24065617,TN
270,0.86549246,TP
271,0.27057755,FN
272,0.33440414,TN
273,0.47229436,TN
274,0.7496332,FP
275,0.5388434,FP
276,0.37605527,FN
277,0.20045677,TN
278,0.6149719,FP
279,0.5802365,FP
280,0.5599692,FP
281,0.6411119,FP
282,0.44473737,TN
283,0.80302787,TP
284,0.3802451,TN
285,0.8043503,TP
286,0.701229,FP
287,0.0918597,FN
288,0.58876806,FP
289,0.47626555,TN
290,0.80857605,FP
291,0.2185352,FN
292,0.25547832,FN
293,0.13195369,TN
294,0.3167555,TN
295,0.6373257,TP
296,0.5056106,TP
297,0.6995178,TP
298,0.3355126,TN
299,0.591415,FP
300,0.8596869,TP
301,0.62012804,TP
302,0.3192199,TN
303,0.5565626,FP
304,0.15489501,TN
305,0.5377123,FP
306,0.1819581,TN
307,0.4039689,TN
308,0.84664804,FP
309,0.166838,TN
310,0.29347077,FN
311,0.69404596,TP
312,0.8090807,TP
313,0.3168207,TN
314,0.75091445,TP
315,0.7064705,TP
316,0.5793838,FP
317,0.20887315,FN
318,0.3907617,FN
319,0.41162908,FN
320,0.30595967,TN
321,0.24434994,TN
322,0.2445358,TN
323,0.5883378,TP
324,0.33213368,TN
325,0.23452704,TN
326,0.43090463,TN
327,0.3979317,FN
328,0.7409393,TP
329,0.34546483,FN
330,0.26020035,TN
331,0.2969086,TN
332,0.636467,FP
333,0.67123336,FP
334,0.2331318,FN
335,0.20794155,TN
336,0.62297297,FP
337,0.32800314,FN
338,0.16639253,TN
339,0.5742168,TP
340,0.64894027,TP
341,0.49276984,TN
342,0.42766857,TN
343,0.22788185,TN
344,0.14653187,TN
345,0.37870467,TN
346,0.11238101,FN
347,0.12063693,TN
348,0.5901148,TP
349,0.22013278,TN
350,0.1421733,FN
351,0.5936239,FP
352,0.8138458,TP
353,0.6465071,FP
354,0.43879172,FN
355,0.7133997,FP
356,0.7813134,TP
357,0.83160275,TP
358,0.15317766,TN
359,0.27631217,TN
360,0.7579982,FP
361,0.68907654,FP
362,0.4446988,TN
363,0.45050284,FN
364,0.45321405,TN
365,0.22326131,TN
366,0.40313116,TN
367,0.3559253,FN
368,0.3214516,TN
369,0.7873947,FP
370,0.53986186,TP
371,0.58773065,TP
372,0.18025352,TN
373,0.64705986,FP
374,0.34862703,TN
375,0.604142,TP
376,0.7536512,TP
377,0.39716968,FN
378,0.78709304,TP
379,0.7211611,TP
380,0.3197742,TN
381,0.35719553,TN
382,0.4711314,TN
383,0.356051,FN
384,0.8598575,TP
385,0.82561237,TP
386,0.5426516,FP
387,0.42562628,FN
388,0.44895965,TN
389,0.8295727,TP
390,0.43700162,TN
391,0.6758717,TP
392,0.26012906,TN
393,0.7347519,TP
394,0.6678561,TP
395,0.43730298,TN
396,0.7706889,TP
397,0.23498918,TN
398,0.5463355,FP
399,0.2842523,TN
400,0.08913686,TN
401,0.44729233,TN
402,0.16211334,TN
403,0.7323349,TP
404,0.37651148,TN
405,0.15434852,TN
406,0.16906148,TN
407,0.40259638,FN
408,0.43655947,TN
409,0.8710552,TP
410,0.29471084,TN
411,0.66158485,FP
412,0.6753993,TP
413,0.16558534,FN
414,0.6346572,FP
415,0.26813352,TN
416,0.6867724,TP
417,0.2096567,TN
418,0.20773508,FN
419,0.25434852,TN
420,0.3796491,FN
421,0.46559808,TN
422,0.21111348,TN
423,0.26556605,TN
424,0.38517466,TN
425,0.41034812,TN
426,0.31326324,TN
427,0.35504353,TN
428,0.075574234,TN
429,0.28506523,TN
430,0.03732261,TN
431,0.15891351,TN
432,0.36124435,TN
433,0.2698215,TN
434,0.4131509,TN
435,0.4340307,FN
436,0.65482867,TP
437,0.46790373,TN
438,0.060641825,TN
439,0.5134047,FP
440,0.2537857,FN
441,0.17615321,TN
442,0.35208625,FN
443,0.49870837,TN
444,0.12760879,TN
445,0.5944958,FP
446,0.85489154,TP
447,0.18038496,TN
448,0.46300694,FN
449,0.23045368,TN
450,0.45066005,FN
451,0.5880079,TP
452,0.29093745,TN
453,0.3462074,TN
454,0.5313383,TP
455,0.2403849,TN
456,0.76412094,TP
