id,age,educational-num,hours-per-week,income,workclass,education,marital-status,occupation,relationship,race,gender,native-country
17888,32,9,30,0,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,United-States
30501,21,7,42,0,Private,11th,Never-married,Other-service,Own-child,White,Male,El-Salvador
26520,33,10,4,0,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
20485,43,13,40,0,Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,United-States
27159,50,14,50,1,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
12787,17,7,15,0,Local-gov,11th,Never-married,Adm-clerical,Own-child,White,Female,United-States
9727,30,9,40,0,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States
23051,64,6,40,0,Private,10th,Married-civ-spouse,Other-service,Husband,Black,Male,United-States
1456,25,9,45,0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
7490,41,9,40,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
4807,42,7,50,1,Local-gov,11th,Divorced,Sales,Unmarried,White,Male,Puerto-Rico
29080,45,13,45,0,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States
15094,36,7,40,0,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
25491,68,14,42,1,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
22197,44,13,48,1,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,South
1893,34,14,55,1,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
24135,25,7,45,0,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
19118,44,9,40,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Ecuador
277,35,10,40,0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
11225,26,13,70,0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
13709,60,9,40,0,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
12362,29,14,40,0,State-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
13679,34,10,40,0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
10123,47,13,40,0,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,United-States
23771,20,9,35,0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States
1056,30,8,75,0,Self-emp-not-inc,12th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
26474,30,9,30,0,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,United-States
3623,31,5,40,0,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico
19218,28,10,54,0,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,United-States
861,43,9,40,0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico
7697,53,4,40,0,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Vietnam
29315,23,13,40,0,Private,Bachelors,Never-married,Sales,Own-child,White,Female,United-States
27786,41,8,40,0,Private,12th,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States
11635,39,9,40,0,Private,HS-grad,Divorced,Other-service,Own-child,White,Male,United-States
31678,61,9,20,0,Federal-gov,HS-grad,Divorced,Adm-clerical,Own-child,Black,Female,United-States
14346,46,14,65,1,Local-gov,Masters,Divorced,Exec-managerial,Unmarried,White,Female,United-States
12074,33,16,60,0,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
20898,26,9,40,0,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States
14979,55,9,50,0,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States
25223,23,13,40,0,Self-emp-inc,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
29341,53,9,46,1,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
26149,40,9,40,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
31627,27,10,22,0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States
27125,72,14,60,0,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
22871,40,9,42,0,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,United-States
26907,26,13,45,0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,United-States
13057,43,5,20,0,Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States
25869,35,14,32,0,Private,Masters,Never-married,Prof-specialty,Unmarried,White,Female,United-States
9694,27,9,20,0,Private,HS-grad,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,United-States
6148,19,10,20,0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States
30599,21,9,40,0,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Female,United-States
12614,36,10,40,0,Private,Some-college,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,United-States
19547,23,10,40,0,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,United-States
30130,31,9,45,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
7287,35,9,40,1,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Yugoslavia
15392,46,14,35,0,Local-gov,Masters,Widowed,Exec-managerial,Unmarried,Black,Female,United-States
2972,35,9,35,0,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,United-States
23640,28,9,40,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States
2360,34,13,70,0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
4402,24,13,40,0,Private,Bachelors,Never-married,Sales,Own-child,White,Female,United-States
14971,36,9,50,0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
8668,27,9,40,1,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
